event_time,down_time,pressure,major_axis,minor_axis,size,user
3105920800,3105920000,0.49803925,10.992049,10.992049,0.11,1
3105920800,3105920000,0.49803925,8.993495,8.993495,0.089999996,1
3105920800,3105920000,0.49411768,7.9942174,7.9942174,0.08,1
3105920800,3105920000,0.49411768,7.9942174,7.9942174,0.08,1
3105921000,3105921000,0.49803925,7.9942174,7.9942174,0.08,1
3105921300,3105921000,0.49803925,7.9942174,7.9942174,0.08,1
3105921300,3105921000,0.49803925,7.9942174,7.9942174,0.08,1
3105921500,3105921000,0.49411768,7.9942174,7.9942174,0.08,1
3105921500,3105921000,0.49411768,7.9942174,7.9942174,0.08,1
3105921800,3105921800,0.49803925,9.992772,9.992772,0.099999994,1
3105922600,3105921800,0.49803925,8.993495,8.993495,0.089999996,1
3105922600,3105921800,0.49803925,8.993495,8.993495,0.089999996,1
3105923000,3105923000,0.49803925,5.995663,5.995663,0.06,1
3105923000,3105923000,0.49411768,5.995663,5.995663,0.06,1
3105923000,3105923000,0.49411768,5.995663,5.995663,0.06,1
3105923600,3105923600,0.3372549,4.996386,4.996386,0.049999997,1
3105923600,3105923600,0.3647059,4.996386,4.996386,0.049999997,1
3105923600,3105923600,0.35686275,4.996386,4.996386,0.049999997,1
3105923600,3105923600,0.34509805,4.996386,4.996386,0.049999997,1
3105923600,3105923600,0.37254903,4.996386,4.996386,0.049999997,1
3105923800,3105923600,0.38431376,4.996386,4.996386,0.049999997,1
3105923800,3105923600,0.38431376,4.996386,4.996386,0.049999997,1
3105924000,3105924000,0.15294118,2.9978316,2.9978316,0.03,1
3105924000,3105924000,0.15686275,2.9978316,2.9978316,0.03,1
3105924000,3105924000,0.1764706,2.9978316,2.9978316,0.03,1
3105924000,3105924000,0.19215688,2.9978316,2.9978316,0.03,1
3105924000,3105924000,0.18823531,2.9978316,2.9978316,0.03,1
3105924000,3105924000,0.18823531,2.9978316,2.9978316,0.03,1
3105924600,3105924600,0.37254903,4.996386,4.996386,0.049999997,1
3105924600,3105924600,0.37647063,4.996386,4.996386,0.049999997,1
3105924600,3105924600,0.39607847,3.9971087,3.9971087,0.04,1
3105924600,3105924600,0.39607847,3.9971087,3.9971087,0.04,1
3105925000,3105925000,0.49803925,6.9949403,6.9949403,0.07,1
3105925000,3105925000,0.49411768,6.9949403,6.9949403,0.07,1
3105925000,3105925000,0.49411768,6.9949403,6.9949403,0.07,1
3105925600,3105925600,0.49803925,5.995663,5.995663,0.06,1
3105925600,3105925600,0.49803925,6.9949403,6.9949403,0.07,1
3105926000,3105925600,0.49411768,6.9949403,6.9949403,0.07,1
3105926000,3105925600,0.49411768,6.9949403,6.9949403,0.07,1
3105926100,3105926100,0.49803925,6.9949403,6.9949403,0.07,1
3105926400,3105926100,0.49803925,7.9942174,7.9942174,0.08,1
3105926400,3105926100,0.4901961,6.9949403,6.9949403,0.07,1
3105926400,3105926100,0.4901961,6.9949403,6.9949403,0.07,1
3105926700,3105926700,0.49803925,4.996386,4.996386,0.049999997,1
3105927000,3105926700,0.49411768,4.996386,4.996386,0.049999997,1
3105927000,3105926700,0.4901961,4.996386,4.996386,0.049999997,1
3105927000,3105926700,0.4901961,4.996386,4.996386,0.049999997,1
3105927200,3105927200,0.49803925,7.9942174,7.9942174,0.08,1
3105927200,3105927200,0.49411768,7.9942174,7.9942174,0.08,1
3105927200,3105927200,0.4901961,6.9949403,6.9949403,0.07,1
3105927200,3105927200,0.4901961,6.9949403,6.9949403,0.07,1
3105927400,3105927400,0.49803925,7.9942174,7.9942174,0.08,1
3105927700,3105927400,0.49411768,6.9949403,6.9949403,0.07,1
3105927700,3105927400,0.49411768,6.9949403,6.9949403,0.07,1
3105928000,3105928000,0.49803925,9.992772,9.992772,0.099999994,1
3105928200,3105928000,0.49411768,8.993495,8.993495,0.089999996,1
3105928200,3105928000,0.49411768,8.993495,8.993495,0.089999996,1
3105928400,3105928400,0.49803925,5.995663,5.995663,0.06,1
3105928400,3105928400,0.49411768,5.995663,5.995663,0.06,1
3105928400,3105928400,0.48627454,4.996386,4.996386,0.049999997,1
3105928400,3105928400,0.48627454,4.996386,4.996386,0.049999997,1
3105928700,3105928700,0.49803925,4.996386,4.996386,0.049999997,1
3105929000,3105928700,0.4901961,4.996386,4.996386,0.049999997,1
3105929000,3105928700,0.4901961,4.996386,4.996386,0.049999997,1
3105929200,3105929200,0.49803925,5.995663,5.995663,0.06,1
3105929200,3105929200,0.49803925,7.9942174,7.9942174,0.08,1
3105929200,3105929200,0.49803925,7.9942174,7.9942174,0.08,1
3105929200,3105929200,0.49803925,7.9942174,7.9942174,0.08,1
3105929200,3105929200,0.49803925,7.9942174,7.9942174,0.08,1
3105929200,3105929200,0.49411768,6.9949403,6.9949403,0.07,1
3105929200,3105929200,0.49411768,6.9949403,6.9949403,0.07,1
3105929500,3105929500,0.49803925,10.992049,10.992049,0.11,1
3105929500,3105929500,0.49411768,9.992772,9.992772,0.099999994,1
3105929500,3105929500,0.49411768,9.992772,9.992772,0.099999994,1
3105929700,3105929700,0.49803925,8.993495,8.993495,0.089999996,1
3105929700,3105929700,0.49411768,7.9942174,7.9942174,0.08,1
3105929700,3105929700,0.4901961,6.9949403,6.9949403,0.07,1
3105929700,3105929700,0.4901961,6.9949403,6.9949403,0.07,1
3105930000,3105930000,0.49803925,7.9942174,7.9942174,0.08,1
3105930000,3105930000,0.49803925,7.9942174,7.9942174,0.08,1
3105930000,3105930000,0.49803925,7.9942174,7.9942174,0.08,1
3105930000,3105930000,0.4901961,6.9949403,6.9949403,0.07,1
3105930000,3105930000,0.4901961,6.9949403,6.9949403,0.07,1
3105930200,3105930200,0.49803925,5.995663,5.995663,0.06,1
3105930200,3105930200,0.49411768,5.995663,5.995663,0.06,1
3105930200,3105930200,0.49411768,5.995663,5.995663,0.06,1
3105930500,3105930500,0.49803925,6.9949403,6.9949403,0.07,1
3105930500,3105930500,0.4901961,5.995663,5.995663,0.06,1
3105930500,3105930500,0.4901961,5.995663,5.995663,0.06,1
3105930500,3105930500,0.49803925,5.995663,5.995663,0.06,1
3105930800,3105930500,0.49411768,5.995663,5.995663,0.06,1
3105930800,3105930500,0.4901961,4.996386,4.996386,0.049999997,1
3105930800,3105930500,0.4901961,4.996386,4.996386,0.049999997,1
3105930800,3105930800,0.49803925,5.995663,5.995663,0.06,1
3105931000,3105930800,0.49411768,4.996386,4.996386,0.049999997,1
3105931000,3105930800,0.49411768,4.996386,4.996386,0.049999997,1
3105931000,3105931000,0.49803925,7.9942174,7.9942174,0.08,1
3105931300,3105931000,0.49411768,6.9949403,6.9949403,0.07,1
3105931300,3105931000,0.4901961,5.995663,5.995663,0.06,1
3105931300,3105931000,0.4901961,5.995663,5.995663,0.06,1
3105931300,3105931300,0.49803925,8.993495,8.993495,0.089999996,1
3105931300,3105931300,0.49803925,8.993495,8.993495,0.089999996,1
3105931300,3105931300,0.49803925,8.993495,8.993495,0.089999996,1
3105931300,3105931300,0.49803925,8.993495,8.993495,0.089999996,1
3105931300,3105931300,0.49803925,8.993495,8.993495,0.089999996,1
3105931500,3105931300,0.49411768,7.9942174,7.9942174,0.08,1
3105931500,3105931300,0.49411768,7.9942174,7.9942174,0.08,1
3105931500,3105931500,0.49803925,7.9942174,7.9942174,0.08,1
3105931800,3105931500,0.49803925,7.9942174,7.9942174,0.08,1
3105931800,3105931800,0.49803925,6.9949403,6.9949403,0.07,1
3105931800,3105931800,0.49803925,10.992049,10.992049,0.11,1
3105931800,3105931800,0.4901961,6.9949403,6.9949403,0.07,1
3105931800,3105931800,0.4901961,6.9949403,6.9949403,0.07,1
3105931800,3105931800,0.49411768,6.9949403,6.9949403,0.07,1
3105932000,3105931800,0.49411768,9.992772,9.992772,0.099999994,1
3105932000,3105931800,0.49411768,9.992772,9.992772,0.099999994,1
3105932000,3105932000,0.49803925,5.995663,5.995663,0.06,1
3105932300,3105932000,0.49411768,4.996386,4.996386,0.049999997,1
3105932300,3105932000,0.49411768,4.996386,4.996386,0.049999997,1
3105932300,3105932300,0.49803925,11.991326,11.991326,0.12,1
3105932500,3105932300,0.49411768,9.992772,9.992772,0.099999994,1
3105932500,3105932300,0.49411768,9.992772,9.992772,0.099999994,1
3105932500,3105932500,0.28235295,4.996386,4.996386,0.049999997,1
3105932500,3105932500,0.28627452,4.996386,4.996386,0.049999997,1
3105932500,3105932500,0.2901961,4.996386,4.996386,0.049999997,1
3105932800,3105932500,0.29803923,4.996386,4.996386,0.049999997,1
3105932800,3105932500,0.30588236,4.996386,4.996386,0.049999997,1
3105932800,3105932500,0.3019608,4.996386,4.996386,0.049999997,1
3105932800,3105932500,0.3019608,4.996386,4.996386,0.049999997,1
3105932800,3105932800,0.49803925,10.992049,10.992049,0.11,1
3105932800,3105932800,0.49411768,9.992772,9.992772,0.099999994,1
3105932800,3105932800,0.49411768,9.992772,9.992772,0.099999994,1
3105933000,3105933000,0.49803925,12.990603,12.990603,0.13,1
3105933000,3105933000,0.49803925,11.991326,11.991326,0.12,1
3105933000,3105933000,0.49803925,11.991326,11.991326,0.12,1
3105933300,3105933300,0.49803925,12.990603,12.990603,0.13,1
3105933300,3105933300,0.49803925,11.991326,11.991326,0.12,1
3105933300,3105933300,0.49803925,10.992049,10.992049,0.11,1
3105933300,3105933300,0.49803925,10.992049,10.992049,0.11,1
3105933600,3105933600,0.49803925,7.9942174,7.9942174,0.08,1
3105933600,3105933600,0.49411768,6.9949403,6.9949403,0.07,1
3105933600,3105933600,0.49411768,6.9949403,6.9949403,0.07,1
3105933800,3105933800,0.49803925,9.992772,9.992772,0.099999994,1
3105933800,3105933800,0.49803925,9.992772,9.992772,0.099999994,1
3105933800,3105933800,0.49803925,9.992772,9.992772,0.099999994,1
